ID,GROUP,As_D,As_T,Fl_T,Fe_D,Fe_T,Ma_D,Ma_T
MW-1,MW,6.6,4.8,5300,7100,4400,2900,2300
MW-10,MW,0.5,1.1,6400,540,1500,2400,1800
MW-11,MW,0.5,0.5,6900,120,820,49,12
MW-2,MW,3.3,3.9,590,5000,140,250,450
MW-200,MW,6.9,1.1,6000,220,10000,770,730
MW-201,MW,0.5,0.5,580,12000,12000,12,450
MW-3,MW,0.5,0.5,8600,15000,10000,2900,2800
MW-4,MW,0.5,7.2,1600,5000,15000,330,450
MW-5,MW,5,10,1800,15000,20000,250,1400
SW-1,SW,21,26,320,5000,1500,250,330
SW-2,SW,6,12,6000,5000,17000,250,2800
TW-11,TW,0.9,1.8,360,13000,10000,2900,450
